source,source_code,source_sheet,대분류,중분류,source_item_text,source_operation_type,canonical_id
union_standard_time,3499018.0,승합-소형승합,기능정비,엔진 부품,안전밸트(2점식)NO.2,탈착,CAN-001621
union_standard_time,3499018.0,승합-소형승합,기능정비,엔진 부품,안전밸트(2점식)NO.2,교환,CAN-001620
union_standard_time,3499019.0,승합-소형승합,기능정비,엔진 부품,안전밸트(2점식)NO.3,탈착,CAN-001623
union_standard_time,3499019.0,승합-소형승합,기능정비,엔진 부품,안전밸트(2점식)NO.3,교환,CAN-001622
union_standard_time,3499020.0,승합-소형승합,기능정비,엔진 부품,안전밸트(2점식)NO.4,탈착,CAN-001625
union_standard_time,3499020.0,승합-소형승합,기능정비,엔진 부품,안전밸트(2점식)NO.4,교환,CAN-001624
union_standard_time,3499021.0,승합-소형승합,기능정비,엔진 부품,안전밸트(2점식)NO.5,탈착,CAN-001627
union_standard_time,3499021.0,승합-소형승합,기능정비,엔진 부품,안전밸트(2점식)NO.5,교환,CAN-001626
union_standard_time,3499022.0,승합-소형승합,기능정비,엔진 부품,안전밸트(2점식)NO.6,탈착,CAN-001629
union_standard_time,3499022.0,승합-소형승합,기능정비,엔진 부품,안전밸트(2점식)NO.6,교환,CAN-001628
union_standard_time,3499309.0,승합-소형승합,기능정비,엔진 부품,"안전밸트(2열,좌)",탈착,CAN-001617
union_standard_time,3499309.0,승합-소형승합,기능정비,엔진 부품,"안전밸트(2열,좌)",교환,CAN-001616
union_standard_time,3499310.0,승합-소형승합,기능정비,엔진 부품,"안전밸트(3열,좌)",탈착,CAN-001635
union_standard_time,3499310.0,승합-소형승합,기능정비,엔진 부품,"안전밸트(3열,좌)",교환,CAN-001634
union_standard_time,3499311.0,승합-소형승합,기능정비,엔진 부품,"안전밸트(4열,좌)",탈착,CAN-001641
union_standard_time,3499311.0,승합-소형승합,기능정비,엔진 부품,"안전밸트(4열,좌)",교환,CAN-001640
union_standard_time,3499312.0,승합-소형승합,기능정비,엔진 부품,"안전밸트(5열,좌)",탈착,CAN-001645
union_standard_time,3499312.0,승합-소형승합,기능정비,엔진 부품,"안전밸트(5열,좌)",교환,CAN-001644
union_standard_time,3499413.0,승합-소형승합,기능정비,엔진 부품,"안전밸트(2열,우)",탈착,CAN-001615
union_standard_time,3499413.0,승합-소형승합,기능정비,엔진 부품,"안전밸트(2열,우)",교환,CAN-001614
union_standard_time,3499414.0,승합-소형승합,기능정비,엔진 부품,"안전밸트(3열,우)",탈착,CAN-001633
union_standard_time,3499414.0,승합-소형승합,기능정비,엔진 부품,"안전밸트(3열,우)",교환,CAN-001632
union_standard_time,3499415.0,승합-소형승합,기능정비,엔진 부품,"안전밸트(4열,우)",탈착,CAN-001639
union_standard_time,3499415.0,승합-소형승합,기능정비,엔진 부품,"안전밸트(4열,우)",교환,CAN-001638
union_standard_time,3499416.0,승합-소형승합,기능정비,엔진 부품,"안전밸트(5열,우)",탈착,CAN-001643
union_standard_time,3499416.0,승합-소형승합,기능정비,엔진 부품,"안전밸트(5열,우)",교환,CAN-001642
union_standard_time,3499501.0,승합-소형승합,기능정비,엔진 부품,"안전벨트(앞,좌)",탈착,CAN-001665
union_standard_time,3499501.0,승합-소형승합,기능정비,엔진 부품,"안전벨트(앞,좌)",교환,CAN-001664
union_standard_time,3499604.0,승합-소형승합,기능정비,엔진 부품,"안전벨트(앞,우)",탈착,CAN-001661
union_standard_time,3499604.0,승합-소형승합,기능정비,엔진 부품,"안전벨트(앞,우)",교환,CAN-001660
union_standard_time,3508004.0,승합-소형승합,기능정비,전기 및 램프,크러쉬패드 배선,탈착,CAN-002611
union_standard_time,3508004.0,승합-소형승합,기능정비,전기 및 램프,크러쉬패드 배선,교환,CAN-002610
union_standard_time,3508006.0,승합-소형승합,기능정비,전기 및 램프,엔진룸배선,탈착,CAN-001923
union_standard_time,3508006.0,승합-소형승합,기능정비,전기 및 램프,엔진룸배선,교환,CAN-001922
union_standard_time,3508011.0,승합-소형승합,기능정비,전기 및 램프,뒷배선,탈착,CAN-000252
union_standard_time,3508011.0,승합-소형승합,기능정비,전기 및 램프,뒷배선,교환,CAN-000251
union_standard_time,3508024.0,승합-소형승합,소모품 및 하체정비,소모품,밧데리,탈착,CAN-000878
union_standard_time,3508024.0,승합-소형승합,소모품 및 하체정비,소모품,밧데리,교환,CAN-000877
union_standard_time,3509019.0,승합-소형승합,기능정비,전기 및 램프,컴비네이션 스위치,탈착,CAN-002519
union_standard_time,3509019.0,승합-소형승합,기능정비,전기 및 램프,컴비네이션 스위치,교환,CAN-002518
union_standard_time,3509021.0,승합-소형승합,기능정비,엔진 부품,와이퍼 모터,탈착,CAN-002190
union_standard_time,3509021.0,승합-소형승합,기능정비,엔진 부품,와이퍼 모터,교환,CAN-002189
union_standard_time,3509022.0,승합-소형승합,기능정비,엔진 부품,와이퍼 링케이지,탈착,CAN-002188
union_standard_time,3509022.0,승합-소형승합,기능정비,엔진 부품,와이퍼 링케이지,교환,CAN-002187
union_standard_time,3518001.0,승합-소형승합,기능정비,에어컨,에어컨 컨덴샤,탈착,CAN-001823
union_standard_time,3518001.0,승합-소형승합,기능정비,에어컨,에어컨 컨덴샤,교환,CAN-001822
union_standard_time,3518013.0,승합-소형승합,기능정비,에어컨,에어컨 컴프레샤,탈착,CAN-001825
